ruta_simulada,total_viajes,tiempo_promedio,distancia_promedio
Duracion_~8hrs_Dist_~0km,32,504.69010416666674,134.5840277777778
Duracion_~91hrs_Dist_~1km,31,5492.230107526881,1464.594695340502
Duracion_~9hrs_Dist_~0km,29,568.8637931034483,151.69701149425288
Duracion_~17hrs_Dist_~0km,27,1049.3141975308633,279.8171193415638
Duracion_~16hrs_Dist_~0km,25,985.8446666666671,262.8919111111111
Duracion_~10hrs_Dist_~0km,24,626.1250000000001,166.96666666666667
Duracion_~94hrs_Dist_~1km,22,5664.104545454545,1510.427878787879
Duracion_~96hrs_Dist_~1km,21,5790.061111111113,1544.0162962962963
Duracion_~14hrs_Dist_~0km,19,874.3087719298245,233.14900584795325
Duracion_~11hrs_Dist_~0km,19,687.3236842105263,183.2863157894737
Duracion_~13hrs_Dist_~0km,18,807.138888888889,215.237037037037
Duracion_~105hrs_Dist_~1km,18,6329.139814814815,1687.7706172839507
Duracion_~15hrs_Dist_~0km,17,921.7813725490196,245.80836601307183
Duracion_~128hrs_Dist_~2km,17,7711.0,2056.266666666667
Duracion_~126hrs_Dist_~2km,17,7597.235294117647,2025.9294117647057
Duracion_~106hrs_Dist_~1km,17,6397.27549019608,1705.9401307189542
Duracion_~179hrs_Dist_~2km,17,10770.29411764706,2872.078431372549
Duracion_~162hrs_Dist_~2km,17,9748.529411764706,2599.6078431372553
Duracion_~100hrs_Dist_~1km,17,6026.856862745099,1607.1618300653593
Duracion_~99hrs_Dist_~1km,17,5961.254901960785,1589.667973856209
Duracion_~172hrs_Dist_~2km,16,10350.125,2760.0333333333333
Duracion_~175hrs_Dist_~2km,16,10529.5625,2807.8833333333328
Duracion_~168hrs_Dist_~2km,15,10107.066666666668,2695.217777777778
Duracion_~12hrs_Dist_~0km,15,743.8688888888888,198.365037037037
Duracion_~98hrs_Dist_~1km,15,5911.116666666667,1576.297777777778
Duracion_~97hrs_Dist_~1km,15,5849.531111111111,1559.8749629629629
Duracion_~115hrs_Dist_~1km,14,6925.642857142857,1846.8380952380953
Duracion_~154hrs_Dist_~2km,13,9265.0,2470.666666666667
Duracion_~104hrs_Dist_~1km,13,6268.461538461538,1671.5897435897436
Duracion_~101hrs_Dist_~1km,13,6096.596153846154,1625.7589743589745
Duracion_~159hrs_Dist_~2km,12,9574.25,2553.133333333333
Duracion_~95hrs_Dist_~1km,12,5727.368055555556,1527.2981481481481
Duracion_~166hrs_Dist_~2km,12,9983.916666666666,2662.3777777777777
Duracion_~177hrs_Dist_~2km,12,10654.166666666666,2841.111111111111
Duracion_~147hrs_Dist_~2km,12,8854.833333333334,2361.288888888889
Duracion_~103hrs_Dist_~1km,11,6207.05303030303,1655.2141414141413
Duracion_~148hrs_Dist_~2km,11,8906.818181818182,2375.1515151515155
Duracion_~120hrs_Dist_~1km,11,7230.454545454545,1928.1212121212118
Duracion_~193hrs_Dist_~3km,11,11608.818181818182,3095.6848484848483
Duracion_~178hrs_Dist_~2km,11,10714.727272727272,2857.2606060606063
Duracion_~123hrs_Dist_~1km,11,7411.272727272727,1976.3393939393939
Duracion_~118hrs_Dist_~1km,11,7110.545454545455,1896.1454545454544
Duracion_~117hrs_Dist_~1km,11,7044.272727272727,1878.4727272727273
Duracion_~224hrs_Dist_~3km,11,13472.363636363636,3592.630303030303
Duracion_~129hrs_Dist_~2km,10,7764.7,2070.586666666667
Duracion_~108hrs_Dist_~1km,10,6513.1,1736.8266666666666
Duracion_~184hrs_Dist_~2km,10,11071.9,2952.5066666666667
Duracion_~174hrs_Dist_~2km,10,10466.2,2790.9866666666667
Duracion_~135hrs_Dist_~2km,10,8129.6,2167.8933333333334
Duracion_~194hrs_Dist_~3km,10,11670.9,3112.24
Duracion_~161hrs_Dist_~2km,10,9694.7,2585.253333333333
Duracion_~127hrs_Dist_~2km,10,7647.7,2039.3866666666665
Duracion_~157hrs_Dist_~2km,10,9445.8,2518.88
Duracion_~142hrs_Dist_~2km,10,8557.4,2281.973333333334
Duracion_~149hrs_Dist_~2km,10,8972.9,2392.773333333333
Duracion_~204hrs_Dist_~3km,10,12267.0,3271.2000000000003
Duracion_~171hrs_Dist_~2km,10,10278.7,2740.9866666666667
Duracion_~218hrs_Dist_~3km,10,13110.9,3496.2400000000002
Duracion_~197hrs_Dist_~3km,9,11846.333333333334,3159.022222222222
Duracion_~185hrs_Dist_~2km,9,11127.555555555555,2967.3481481481485
Duracion_~102hrs_Dist_~1km,9,6151.116666666666,1640.2977777777778
Duracion_~160hrs_Dist_~2km,9,9637.777777777777,2570.074074074074
Duracion_~109hrs_Dist_~1km,9,6576.579629629629,1753.7545679012344
Duracion_~137hrs_Dist_~2km,9,8242.0,2197.866666666667
Duracion_~191hrs_Dist_~3km,9,11485.111111111111,3062.696296296296
Duracion_~189hrs_Dist_~3km,9,11364.666666666666,3030.5777777777776
Duracion_~180hrs_Dist_~2km,9,10825.0,2886.6666666666665
Duracion_~209hrs_Dist_~3km,9,12560.888888888889,3349.5703703703703
Duracion_~130hrs_Dist_~2km,9,7837.333333333333,2089.9555555555557
Duracion_~111hrs_Dist_~1km,9,6691.222222222223,1784.3259259259257
Duracion_~176hrs_Dist_~2km,9,10588.555555555555,2823.6148148148145
Duracion_~167hrs_Dist_~2km,8,10061.5,2683.0666666666666
Duracion_~133hrs_Dist_~2km,8,8016.25,2137.6666666666665
Duracion_~112hrs_Dist_~1km,8,6754.4125,1801.1766666666667
Duracion_~114hrs_Dist_~1km,8,6866.125,1830.9666666666667
Duracion_~139hrs_Dist_~2km,8,8382.375,2235.3
Duracion_~145hrs_Dist_~2km,8,8738.125,2330.1666666666665
Duracion_~203hrs_Dist_~3km,8,12204.5,3254.5333333333333
Duracion_~210hrs_Dist_~3km,8,12633.75,3369.0
Duracion_~150hrs_Dist_~2km,8,9033.375,2408.8999999999996
Duracion_~152hrs_Dist_~2km,8,9153.5,2440.9333333333334
Duracion_~190hrs_Dist_~3km,8,11433.25,3048.866666666667
Duracion_~116hrs_Dist_~1km,8,6987.5,1863.3333333333335
Duracion_~146hrs_Dist_~2km,8,8791.875,2344.5
Duracion_~169hrs_Dist_~2km,7,10171.42857142857,2712.3809523809527
Duracion_~182hrs_Dist_~2km,7,10937.42857142857,2916.647619047619
