bici,viajes,distancia_total,minutos_totales,eficiencia_km_min
427-6994,1,274.47555555555556,1029.28333333333,0.26666666666666755
809-2975,1,323.91555555555556,1214.68333333333,0.2666666666666674
693-4368,1,395.99555555555554,1484.98333333333,0.2666666666666673
540-4876,4,455.82222222222225,1709.3333333333296,0.2666666666666673
845-7129,2,526.6355555555556,1974.8833333333298,0.26666666666666716
454-6156,2,498.67111111111103,1870.0166666666632,0.2666666666666671
409-7465,1,48.59555555555555,182.233333333333,0.2666666666666671
580-6476,2,585.9466666666667,2197.299999999997,0.26666666666666705
581-6715,2,1305.2044444444446,4894.51666666666,0.26666666666666705
276-7366,1,699.1555555555556,2621.83333333333,0.26666666666666705
656-4025,1,612.7955555555556,2297.98333333333,0.26666666666666705
383-6111,1,605.6622222222222,2271.23333333333,0.26666666666666705
248-3857,2,553.4755555555555,2075.53333333333,0.26666666666666705
270-8394,1,595.8355555555555,2234.38333333333,0.26666666666666705
554-5512,1,688.3555555555556,2581.33333333333,0.26666666666666705
735-6231,1,632.2755555555556,2371.03333333333,0.26666666666666705
447-0530,1,651.1688888888889,2441.88333333333,0.26666666666666705
729-1263,1,685.2355555555556,2569.63333333333,0.26666666666666705
358-5791,1,770.2222222222222,2888.33333333333,0.266666666666667
815-7612,2,703.6933333333334,2638.8499999999967,0.266666666666667
609-3348,4,2259.9288888888887,8474.733333333323,0.266666666666667
422-1982,1,79.30222222222223,297.383333333333,0.266666666666667
420-8534,1,672.1422222222222,2520.53333333333,0.266666666666667
635-9756,1,799.0222222222222,2996.33333333333,0.266666666666667
618-5300,1,795.5022222222223,2983.13333333333,0.266666666666667
222-1257,1,776.9288888888889,2913.48333333333,0.266666666666667
489-2485,1,702.2755555555556,2633.53333333333,0.266666666666667
887-3739,1,659.5955555555555,2473.48333333333,0.266666666666667
222-2529,1,805.2355555555556,3019.63333333333,0.266666666666667
411-8402,1,817.8888888888889,3067.08333333333,0.266666666666667
785-5570,1,741.5955555555555,2780.98333333333,0.266666666666667
567-3850,1,785.8622222222223,2946.98333333333,0.266666666666667
558-5534,2,1039.9733333333336,3899.8999999999965,0.266666666666667
276-0239,3,1615.5866666666668,6058.4499999999925,0.266666666666667
572-0172,1,705.1022222222222,2644.13333333333,0.266666666666667
776-3915,2,1477.5777777777778,5540.91666666666,0.266666666666667
238-6167,1,783.1555555555556,2936.83333333333,0.266666666666667
572-8324,4,3359.8755555555554,12599.533333333318,0.266666666666667
664-4926,4,2951.4000000000005,11067.749999999989,0.266666666666667
439-9648,4,2373.3422222222225,8900.033333333324,0.266666666666667
321-8609,1,746.9555555555555,2801.08333333333,0.266666666666667
559-6366,1,665.1688888888889,2494.38333333333,0.266666666666667
844-5876,1,760.0355555555556,2850.13333333333,0.266666666666667
327-6854,2,61.54666666666667,230.79999999999973,0.266666666666667
575-3058,2,749.2311111111111,2809.616666666663,0.266666666666667
465-1899,2,831.2977777777778,3117.366666666663,0.266666666666667
860-2484,1,736.9288888888889,2763.48333333333,0.266666666666667
799-4932,2,695.5911111111111,2608.4666666666635,0.266666666666667
732-2738,1,783.3555555555556,2937.58333333333,0.266666666666667
248-9862,1,770.0622222222222,2887.73333333333,0.266666666666667
437-2744,2,1583.1911111111112,5936.96666666666,0.266666666666667
474-4819,3,1993.6666666666665,7476.249999999991,0.266666666666667
541-5625,2,1105.6711111111115,4146.266666666663,0.266666666666667
473-7433,1,667.5822222222222,2503.43333333333,0.266666666666667
797-5477,1,731.3555555555555,2742.58333333333,0.266666666666667
546-8426,1,902.2222222222224,3383.33333333333,0.266666666666667
784-6041,1,762.0088888888889,2857.53333333333,0.266666666666667
290-7525,1,749.2355555555556,2809.63333333333,0.266666666666667
204-5714,1,740.6622222222222,2777.48333333333,0.266666666666667
410-9179,4,2857.026666666667,10713.84999999999,0.266666666666667
379-5747,1,771.0088888888889,2891.28333333333,0.266666666666667
612-1529,1,783.9955555555556,2939.98333333333,0.266666666666667
243-0056,4,3205.9022222222225,12022.13333333332,0.266666666666667
373-3516,1,861.4888888888889,3230.58333333333,0.266666666666667
691-6795,4,3218.5688888888894,12069.63333333332,0.266666666666667
480-8895,4,2826.1600000000003,10598.09999999999,0.26666666666666694
486-6158,4,3366.7155555555555,12625.18333333332,0.26666666666666694
763-0320,1,863.1822222222222,3236.93333333333,0.26666666666666694
844-5090,6,3814.048888888889,14302.68333333332,0.26666666666666694
413-4409,3,1921.4088888888891,7205.283333333327,0.26666666666666694
242-1378,1,1000.6222222222224,3752.33333333333,0.26666666666666694
595-5638,3,1646.2533333333333,6173.449999999993,0.26666666666666694
502-4161,1,1026.5155555555557,3849.43333333333,0.26666666666666694
315-2196,2,1052.2444444444445,3945.916666666663,0.26666666666666694
839-0486,1,918.2355555555556,3443.38333333333,0.26666666666666694
881-5912,2,1153.9511111111112,4327.316666666663,0.26666666666666694
207-0134,2,845.48,3170.549999999997,0.26666666666666694
598-0784,1,899.1555555555556,3371.83333333333,0.26666666666666694
849-6531,1,777.6488888888889,2916.18333333333,0.26666666666666694
623-7259,1,846.7155555555555,3175.18333333333,0.26666666666666694
427-6820,1,845.0622222222222,3168.98333333333,0.26666666666666694
776-2511,2,776.791111111111,2912.9666666666635,0.26666666666666694
854-0387,4,3502.5555555555557,13134.58333333332,0.26666666666666694
351-3603,2,1065.9022222222225,3997.13333333333,0.26666666666666694
683-5995,1,896.9955555555556,3363.73333333333,0.26666666666666694
701-1653,2,981.5911111111112,3680.966666666663,0.26666666666666694
495-6520,1,890.9955555555556,3341.23333333333,0.26666666666666694
786-4390,2,1056.5777777777778,3962.166666666663,0.26666666666666694
240-9878,1,856.5155555555556,3211.93333333333,0.26666666666666694
754-3739,3,2849.4533333333334,10685.44999999999,0.26666666666666694
782-8221,1,888.7822222222222,3332.93333333333,0.26666666666666694
287-6779,1,897.0888888888888,3364.08333333333,0.26666666666666694
768-2701,1,1042.5155555555557,3909.43333333333,0.26666666666666694
441-4223,1,811.0755555555555,3041.53333333333,0.26666666666666694
505-2410,1,874.9822222222223,3281.18333333333,0.26666666666666694
663-9082,1,92.71555555555555,347.683333333333,0.26666666666666694
833-0094,1,865.8222222222222,3246.83333333333,0.26666666666666694
650-3874,1,965.2622222222222,3619.73333333333,0.26666666666666694
594-5217,1,854.5822222222222,3204.68333333333,0.26666666666666694
230-4210,1,802.8488888888888,3010.68333333333,0.26666666666666694
802-9852,2,934.5733333333334,3504.6499999999965,0.26666666666666694
885-6346,4,3624.048888888889,13590.18333333332,0.26666666666666694
732-5723,1,787.5688888888889,2953.38333333333,0.26666666666666694
270-3114,1,890.0488888888889,3337.68333333333,0.26666666666666694
495-4863,2,927.1644444444444,3476.866666666663,0.26666666666666694
302-8107,2,1003.0088888888889,3761.2833333333297,0.26666666666666694
817-9095,1,847.2488888888889,3177.18333333333,0.26666666666666694
328-5590,1,958.4755555555556,3594.28333333333,0.26666666666666694
601-7560,1,888.7022222222222,3332.63333333333,0.26666666666666694
711-5165,1,1033.5955555555556,3875.98333333333,0.26666666666666694
563-2146,1,864.7022222222222,3242.63333333333,0.26666666666666694
670-2146,1,812.2488888888889,3045.93333333333,0.26666666666666694
811-4605,1,818.3955555555556,3068.98333333333,0.26666666666666694
495-3634,2,901.8488888888888,3381.9333333333298,0.26666666666666694
692-3585,1,864.1422222222222,3240.53333333333,0.26666666666666694
792-3246,1,790.2088888888889,2963.28333333333,0.26666666666666694
841-1373,1,919.0622222222222,3446.48333333333,0.26666666666666694
799-8396,2,949.1688888888889,3559.38333333333,0.26666666666666694
596-1883,1,866.728888888889,3250.23333333333,0.26666666666666694
777-3401,4,3887.1422222222222,14576.783333333318,0.26666666666666694
759-9129,1,807.0488888888889,3026.43333333333,0.26666666666666694
870-9461,1,1106.3022222222223,4148.63333333333,0.26666666666666694
422-7161,2,1021.1911111111111,3829.466666666663,0.26666666666666694
695-5124,3,2851.8933333333334,10694.59999999999,0.26666666666666694
667-0897,1,883.0488888888889,3311.43333333333,0.26666666666666694
384-6193,4,3191.1422222222222,11966.783333333322,0.26666666666666694
450-5236,1,836.8488888888888,3138.18333333333,0.26666666666666694
687-1420,1,102.35555555555555,383.833333333333,0.26666666666666694
492-4999,1,986.8355555555556,3700.63333333333,0.26666666666666694
807-8263,1,915.7288888888888,3433.98333333333,0.26666666666666694
424-1048,1,911.1555555555556,3416.83333333333,0.26666666666666694
739-8381,1,827.8222222222222,3104.33333333333,0.26666666666666694
585-4013,3,3017.0400000000004,11313.89999999999,0.26666666666666694
499-4406,1,906.0222222222222,3397.58333333333,0.26666666666666694
569-2496,1,1033.5955555555556,3875.98333333333,0.26666666666666694
789-2730,1,861.7022222222222,3231.38333333333,0.26666666666666694
835-4276,1,966.0222222222222,3622.58333333333,0.26666666666666694
322-3575,2,911.4533333333334,3417.9499999999966,0.26666666666666694
460-9467,3,3120.3333333333335,11701.249999999989,0.26666666666666694
624-6276,1,882.2355555555556,3308.38333333333,0.26666666666666694
517-1533,1,932.8355555555556,3498.13333333333,0.26666666666666694
669-0515,1,835.8755555555556,3134.53333333333,0.26666666666666694
850-2890,6,4881.822222222223,18306.833333333318,0.26666666666666694
382-8035,2,1007.0177777777777,3776.316666666663,0.26666666666666694
892-0761,1,873.6488888888889,3276.18333333333,0.26666666666666694
324-4233,2,1817.6444444444446,6816.166666666661,0.26666666666666694
678-5612,2,930.0444444444445,3487.6666666666633,0.26666666666666694
490-8802,1,868.4622222222222,3256.73333333333,0.26666666666666694
358-0198,1,892.9955555555556,3348.73333333333,0.26666666666666694
849-9030,1,879.1288888888889,3296.73333333333,0.26666666666666694
695-9415,1,884.3822222222223,3316.43333333333,0.26666666666666694
513-6924,4,3713.782222222222,13926.68333333332,0.26666666666666694
292-3563,2,815.3822222222223,3057.68333333333,0.26666666666666694
657-0709,3,2898.826666666667,10870.59999999999,0.26666666666666694
718-6935,2,1077.1822222222224,4039.43333333333,0.26666666666666694
409-2029,2,894.2622222222222,3353.48333333333,0.26666666666666694
226-9686,2,970.2133333333335,3638.299999999997,0.26666666666666694
202-3141,1,865.6488888888889,3246.18333333333,0.26666666666666694
297-9144,1,891.7022222222222,3343.88333333333,0.26666666666666694
757-3033,1,1060.9955555555557,3978.73333333333,0.26666666666666694
553-4292,2,739.6622222222222,2773.7333333333304,0.26666666666666694
275-2681,2,951.0577777777778,3566.466666666663,0.26666666666666694
893-3533,2,901.9155555555556,3382.18333333333,0.26666666666666694
594-6892,1,795.9688888888888,2984.88333333333,0.26666666666666694
295-2018,1,903.6755555555555,3388.78333333333,0.26666666666666694
718-1233,1,884.0888888888888,3315.33333333333,0.26666666666666694
665-4123,1,865.1688888888889,3244.38333333333,0.26666666666666694
602-9771,1,835.6888888888889,3133.83333333333,0.26666666666666694
343-1798,1,978.2355555555556,3668.38333333333,0.26666666666666694
420-7007,1,833.7288888888888,3126.48333333333,0.26666666666666694
507-3705,6,5789.466666666666,21710.499999999978,0.26666666666666694
540-1732,2,839.8311111111111,3149.366666666663,0.26666666666666694
324-5800,1,878.3422222222222,3293.78333333333,0.26666666666666694
491-0477,1,817.5955555555555,3065.98333333333,0.26666666666666694
472-1155,2,872.6355555555556,3272.38333333333,0.26666666666666694
727-4335,2,963.8044444444445,3614.2666666666632,0.26666666666666694
865-5623,1,903.1955555555556,3386.98333333333,0.26666666666666694
871-5369,1,971.3955555555556,3642.73333333333,0.26666666666666694
592-5516,4,2879.8933333333334,10799.59999999999,0.26666666666666694
277-1202,1,890.7022222222222,3340.13333333333,0.26666666666666694
726-5382,1,846.4622222222222,3174.23333333333,0.26666666666666694
793-1397,1,932.8755555555556,3498.28333333333,0.26666666666666694
559-5103,1,1087.8622222222225,4079.48333333333,0.26666666666666694
676-1464,1,933.2222222222222,3499.58333333333,0.26666666666666694
652-5406,2,1045.3822222222223,3920.1833333333298,0.26666666666666694
416-2301,1,796.1955555555555,2985.73333333333,0.26666666666666694
